row_id,num_sold
26298,258.23203
26299,426.66992
26300,125.74088
26301,404.98834
26302,660.94196
26303,195.93704
26304,357.3907
26305,588.5322
26306,172.34271
26307,545.7291
26308,799.8849
26309,281.28796
26310,300.01694
26311,462.71365
26312,144.49168
26313,462.91727
26314,726.3442
26315,217.34349
26316,258.24014
26317,426.67804
26318,125.74902
26319,404.99814
26320,660.9517
26321,195.94682
26322,357.21423
26323,588.35583
26324,172.27927
26325,545.13794
26326,799.2937
26327,281.05432
26328,300.0177
26329,462.71442
26330,144.49245
26331,462.91803
26332,726.345
26333,217.34425
26334,258.2377
26335,426.6756
26336,125.74657
26337,404.99402
26338,660.94763
26339,195.94273
26340,358.6371
26341,589.7787
26342,172.34389
26343,545.7303
26344,799.88605
26345,281.3186
26346,300.0226
26347,462.71933
26348,144.49736
26349,462.92294
26350,726.34985
26351,217.34917
26352,260.01117
26353,446.49155
26354,126.308815
26355,406.1949
26356,676.74536
26357,195.70938
26358,360.35968
26359,596.3339
26360,170.83217
26361,546.6408
26362,803.6346
26363,292.69174
26364,305.53928
26365,485.10605
26366,146.19754
26367,468.8683
26368,739.2894
26369,225.75693
26370,282.56265
26371,488.57166
26372,139.57024
26373,449.06113
26374,711.78906
26375,225.08339
26376,382.13416
26377,601.5546
26378,198.04678
26379,577.7498
26380,803.7834
26381,327.90918
26382,329.19354
26383,522.23596
26384,158.40506
26385,511.63617
26386,757.8172
26387,263.72427
26388,282.69214
26389,488.6749
26390,139.75778
26391,449.09818
26392,711.8262
26393,225.50813
26394,381.92703
26395,601.34753
26396,197.92128
26397,577.77655
26398,802.4986
26399,324.00183
26400,309.86746
26401,504.97586
26402,142.42854
26403,497.55606
26404,745.8294
26405,252.10803
26406,222.43181
26407,391.64066
26408,98.681755
26409,373.81754
26410,630.5421
26411,172.85307
26412,339.9208
26413,573.67426
26414,156.29305
26415,532.52075
26416,789.2883
26417,268.44943
26418,262.63904
26419,427.98163
26420,118.494385
26421,435.24136
26422,701.31415
26423,197.43947
26424,211.09502
26425,380.30386
26426,93.30623
26427,366.323
26428,623.0476
26429,168.40356
26430,337.7422
26431,571.4956
26432,154.5352
26433,531.07465
26434,787.8423
26435,267.14313
26436,262.86053
26437,428.20312
26438,118.652054
26439,435.3786
26440,701.4514
26441,197.54196
26442,211.10315
26443,380.312
26444,93.31437
